label_name,label,template_path,class_name,class,image_path
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_17.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_17_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/esp_id_76.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/esp_id_76_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_01.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_01_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_49.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_49_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_93.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/aze_passport_93_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_28.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_28_frame_000301.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/fin_id_11.jpg_fake_7_69.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/fin_id_11_fake_7_69_frame_60_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_05.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_05_frame_000121.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_30.jpg_fake_0_85.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/lva_passport_30_fake_0_85_frame_120_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_93.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/aze_passport_93_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_07.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/aze_passport_07_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_71.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_71_frame_000001.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_97.jpg_fake_0_106.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/lva_passport_97_fake_0_106_frame_240_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_50.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_50_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_70.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_70_frame_000061.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/aze_passport_31.jpg_fake_3_25.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/aze_passport_31_fake_3_25_frame_00_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/est_id_67.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_67_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_18.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_18_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_53.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_53_frame_000361.jpg
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_85.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/grc_passport_85_frame_000421.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/fin_id_35.jpg_fake_7_93.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/fin_id_35_fake_7_93_frame_180_extracted.png
fakes,1,/data/users/soteria/MIDV2020/fakes/esp_id_37.jpg_fake_2_20.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/esp_id_37_fake_2_20_frame_60_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_08.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_08_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_88.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_88_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_20.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_20_frame_000241.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/aze_passport_48.jpg_fake_3_112.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/aze_passport_48_fake_3_112_frame_240_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_94.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_94_frame_000361.jpg
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_03.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_03_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/srb_passport_80.jpg,srb,8,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/srb_passport_80_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_84.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_84_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_03.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_03_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_05.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_05_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_85.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_85_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_05.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/aze_passport_05_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/esp_id_35.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/esp_id_35_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_45.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_45_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_94.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_94_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_22.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_22_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/esp_id_33.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/esp_id_33_frame_000301.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_17.jpg_fake_0_97.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/lva_passport_17_fake_0_97_frame_120_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/est_id_02.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_02_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_12.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_12_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/esp_id_51.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/esp_id_51_frame_000061.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/aze_passport_13.jpg_fake_3_55.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/aze_passport_13_fake_3_55_frame_180_extracted.png
fakes,1,/data/users/soteria/MIDV2020/fakes/est_id_27.jpg_fake_9_100.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/est_id_27_fake_9_100_frame_60_extracted.png
fakes,1,/data/users/soteria/MIDV2020/fakes/srb_passport_57.jpg_fake_5_65.jpg,srb,8,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/srb_passport_57_fake_5_65_frame_120_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_05.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_05_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_10.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/grc_passport_10_frame_000061.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_14.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_14_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/esp_id_29.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/esp_id_29_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_14.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/aze_passport_14_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_81.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_81_frame_000421.jpg
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_85.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_85_frame_000481.jpg
reals,0,/data/users/soteria/MIDV2020/reals/est_id_71.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_71_frame_000121.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/esp_id_10.jpg_fake_2_30.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/esp_id_10_fake_2_30_frame_00_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_06.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_06_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_67.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/aze_passport_67_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_45.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_45_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_28.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_28_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_09.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_09_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/aze_passport_14.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/aze_passport_14_frame_000361.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/grc_passport_03.jpg_fake_4_50.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/grc_passport_03_fake_4_50_frame_360_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_21.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_21_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_64.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_64_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_38.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_38_frame_000301.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/esp_id_20.jpg_fake_2_68.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/esp_id_20_fake_2_68_frame_30_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_03.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_03_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/esp_id_52.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/esp_id_52_frame_000061.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/lva_passport_94.jpg_fake_0_54.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/lva_passport_94_fake_0_54_frame_60_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_73.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/grc_passport_73_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_09.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_09_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/est_id_77.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_77_frame_000421.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_50.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_50_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_79.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/grc_passport_79_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_66.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/grc_passport_66_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_95.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_95_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/grc_passport_00.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/grc_passport_00_frame_000061.jpg
reals,0,/data/users/soteria/MIDV2020/reals/est_id_72.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_72_frame_000181.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/aze_passport_48.jpg_fake_3_112.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/aze_passport_48_fake_3_112_frame_90_extracted.png
fakes,1,/data/users/soteria/MIDV2020/fakes/grc_passport_17.jpg_fake_4_69.jpg,grc,5,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/grc_passport_17_fake_4_69_frame_60_extracted.png
fakes,1,/data/users/soteria/MIDV2020/fakes/aze_passport_12.jpg_fake_3_19.jpg,aze,1,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/aze_passport_12_fake_3_19_frame_00_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/est_id_23.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_23_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/lva_passport_34.jpg,lva,6,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/lva_passport_34_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_72.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_72_frame_000601.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_04.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_04_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_26.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_26_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_12.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_12_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_34.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_34_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_23.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_23_frame_000121.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/esp_id_23.jpg_fake_2_104.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/esp_id_23_fake_2_104_frame_150_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/srb_passport_23.jpg,srb,8,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/srb_passport_23_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/est_id_27.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_27_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/srb_passport_54.jpg,srb,8,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/srb_passport_54_frame_000181.jpg
reals,0,/data/users/soteria/MIDV2020/reals/srb_passport_69.jpg,srb,8,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/srb_passport_69_frame_000301.jpg
reals,0,/data/users/soteria/MIDV2020/reals/esp_id_71.jpg,esp,2,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/esp_id_71_frame_000181.jpg
fakes,1,/data/users/soteria/MIDV2020/fakes/est_id_27.jpg_fake_9_100.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/fakes/est_id_27_fake_9_100_frame_90_extracted.png
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_87.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_87_frame_000061.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_84.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_84_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/alb_id_79.jpg,alb,0,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/alb_id_79_frame_000601.jpg
reals,0,/data/users/soteria/MIDV2020/reals/est_id_15.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_15_frame_000241.jpg
reals,0,/data/users/soteria/MIDV2020/reals/est_id_37.jpg,est,3,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/est_id_37_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_92.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_92_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_43.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_43_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_87.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_87_frame_000121.jpg
reals,0,/data/users/soteria/MIDV2020/reals/rus_internalpassport_43.jpg,rus,7,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/rus_internalpassport_43_frame_000061.jpg
reals,0,/data/users/soteria/MIDV2020/reals/fin_id_52.jpg,fin,4,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/fin_id_52_frame_000001.jpg
reals,0,/data/users/soteria/MIDV2020/reals/svk_id_92.jpg,svk,9,/home/mtalarmain/Documents/soteria/dataset/MIDV2020/unbalanced/clips/background/images/reals/svk_id_92_frame_000001.jpg
